host,target
3051391,3044839
3055077,3055603
1422641,704566
728346,728584
3586403,823875
1222592,1511311
3493907,3493900
3719019,3719030
341303,341307
820047,820052
782236,782241
1236731,1236730
728245,728230
2617781,3820370
1248722,820417
1222805,820568
1907597,1021021
1221950,1221839
3324705,3324706
726791,726792
727852,727607
826228,820132
3055081,3055591
3324529,820359
1221893,1219070
1221839,3160690
728340,984803
3055118,3055628
1222666,3566586
3051378,3052460
3055585,3055072
682449,683237
820580,820569
727865,728104
1232470,1908536
727284,984759
728083,728088
728104,984802
2327577,375050
590200,886933
727985,728245
820426,820500
2568527,2535628
3324530,3324529
726788,727028
679289,680083
1161143,696240
1775469,1511297
1223270,1223274
1165292,864703
3686286,3586403
3564079,696252
782225,782226
1223269,1856853
3247950,388385
3687874,3687884
3586975,989293
988596,984771
1222041,1222040
820053,820127
728324,728569
3044839,3044847
1422488,717537
3055630,3055626
728224,728223
680099,680876
3055580,3055088
921406,921407
3055628,3055071
683232,684020
3052468,3052504
727136,727137
3719018,3719041
682547,682562
684026,685173
1512348,1511313
1554354,705555
679298,607437
680079,680876
3052948,811286
1221852,2535644
686278,728721
684807,684018
727148,727387
3622480,725294
3562388,680081
727150,727389
728244,728243
681657,682445
679295,679289
1856814,1222800
1222483,1422045
2736908,2736907
3044876,3044840
1511303,727772
727869,727871
819978,818443
1221948,3160693
2517616,2517615
727035,727050
1222666,2737166
509279,509276
1221893,1218983
725282,725283
1222677,1222591
727984,727744
375527,814901
700639,727506
728322,728083
3056456,3056455
1222592,3055070
1222888,1222803
727288,984757
3055594,3055116
727027,726791
782319,868417
680099,679300
682555,682559
728588,728344
820414,989295
818442,819989
3044837,3051384
726910,984741
727145,727284
728246,728484
3052918,3053002
1392072,1392073
1221848,1218982
1511309,988606
680079,679300
1040943,864710
3564079,696255
1511313,988616
1908995,1908980
681659,682440
2735253,2735222
3051423,3052473
782240,782296
3586963,819977
3055599,3056471
388106,708941
820056,819976
826228,820050
1222802,2604918
3687830,3586403
3162860,679290
1392074,2738669
1222360,1222466
2472319,680876
3325521,3325520
3051424,3052505
727289,727268
1222171,1222182
868434,868433
1222584,1222696
727744,727747
1511317,984821
1222693,1222586
3055584,3056456
815003,814915
3052904,682551
728100,727862
820352,820426
728330,728324
3588351,3588373
727049,984737
1225401,820422
680090,680878
989276,988859
727750,727749
704566,717537
1222590,1222697
727984,727990
3052535,3052468
728562,728800
820507,820433
1554357,1738318
679311,679300
1161143,2736964
728584,728585
3055089,3055579
820500,886211
3760557,850270
837945,837944
984807,984798
3044832,3051379
3055580,3055069
3056462,3055600
728572,728573
728563,921563
1222379,1222488
683228,684016
3719018,3586973
590175,590186
3628008,3628037
1392075,2833695
826226,826224
3056465,3056470
680077,680865
375533,375536
1035457,814927
820421,820507
1021040,1021043
728472,728473
820352,820423
728562,728323
1222269,1222279
1222173,1222067
726788,726549
1222273,682546
3055660,3055154
728001,984787
1222136,3566578
681664,682463
3829392,3733603
868432,868423
3687914,3687876
2341713,854901
727294,727293
3056514,728479
820056,820127
984789,984788
3494496,3494497
819982,886211
728486,728722
