id,area,level,name,perimeter,unbounded_height,classification
1107679,10.251458240789336,מ' 26 בניין 3- קומה 10,ח.דיור,1316.0823731372273,243.84,space
1107681,16.166015374392018,מ' 26 בניין 3- קומה 10,מטבח,1629.0079608720152,243.84,space
1107683,3.4300000000001205,מ' 26 בניין 3- קומה 10,ח.שירות,770.0000000000051,243.84,space
1107685,13.895976678795105,מ' 26 בניין 3- קומה 10,ח.שינה 1,1680.6928758786444,243.84,space
1107687,10.324971109933307,מ' 26 בניין 3- קומה 10,ח.שינה 3,1289.9980413514106,243.84,space
1107689,13.895976678795105,מ' 26 בניין 3- קומה 10,ח.שינה 1,1680.6928758786444,243.84,space
1107693,15.755716712223778,מ' 26 בניין 3- קומה 10,ח.דיור,1596.406594680719,243.84,space
1107694,10.324971109881245,מ' 26 בניין 3- קומה 10,ח.שינה 4,1289.9980413478902,243.84,space
1107696,3.0306875582311044,מ' 26 בניין 3- קומה 10,ח.שירות,701.0564591265919,243.84,space
1107698,9.700737225648918,מ' 26 בניין 3- קומה 10,SR,1261.3446247865747,243.84,space
1107710,10.61297280737798,מ' 26 בניין 3- קומה 10,מטבח,1322.3901364618262,243.84,space
1107715,10.67992304873862,מ' 26 בניין 3- קומה 10,מטבח,1325.8513862351892,243.84,space
1107717,15.688766470863303,מ' 26 בניין 3- קומה 10,ח.דיור,1592.9453449073662,243.84,space
1107719,16.175819681546958,מ' 26 בניין 3- קומה 10,ח.דיור,1612.1410235864082,243.84,space
1107721,11.009999999999993,מ' 26 בניין 3- קומה 10,ח.שינה 1,1333.9999999999993,243.84,space
1107723,10.360000000000005,מ' 26 בניין 3- קומה 10,SR,1300.0000000000002,243.84,space
1107728,8.624126943033872,מ' 26 בניין 3- קומה 10,מטבח,1216.7230400000008,243.84,space
1107730,3.3631702542184527,מ' 26 בניין 3- קומה 10,מ.שירות,740.8044416166957,243.84,space
1107732,14.087676138991103,מ' 26 בניין 3- קומה 10,ח.דיור,1501.449183202959,243.84,space
1107735,7.236618819989916,מ' 26 בניין 3- קומה 10,פ.אוכל,1372.5765135737586,243.84,space
1107742,10.324971109933305,מ' 26 בניין 3- קומה 11,ח.שינה 3,1289.9980413514108,243.84,space
1107744,10.32497110988126,מ' 26 בניין 3- קומה 11,ח.שינה 4,1289.9980413478902,243.84,space
1107746,3.0306875582311306,מ' 26 בניין 3- קומה 11,ח.שירות,701.0564591265921,243.84,space
1107748,9.700737225648917,מ' 26 בניין 3- קומה 11,SR,1261.3446247865745,243.84,space
1107751,9.664503954723841,מ' 26 בניין 3- קומה 11,SR,1282.0610612940052,243.84,space
1107753,11.167372579221588,מ' 26 בניין 3- קומה 11,ח.שינה 1,1362.8890372539806,243.84,space
1107755,3.4253248152044002,מ' 26 בניין 3- קומה 11,ח.שירות,770.6646624010336,243.84,space
1107757,11.16369762433842,מ' 26 בניין 3- קומה 11,ח.שינה 1,1362.350287027366,243.84,space
1107759,9.661353954723689,מ' 26 בניין 3- קומה 11,SR,1272.0610612939752,243.84,space
1107763,0.937609829702737,מ' 26 בניין 3- קומה 11,מטבח,430.98191351003084,243.84,space
1107764,9.93326618817189,מ' 26 בניין 3- קומה 11,מטבח,1285.7325631442748,243.84,space
1107769,10.251458240789336,מ' 26 בניין 3- קומה 11,ח.דיור,1316.082373137227,243.84,space
1107771,16.219896733081473,מ' 26 בניין 3- קומה 11,מטבח,1645.4289345976824,243.84,space
1107773,3.4300000000001205,מ' 26 בניין 3- קומה 11,ח.שירות,770.0000000000051,243.84,space
1107775,13.895976678795115,מ' 26 בניין 3- קומה 11,ח.שינה 1,1680.6928758786444,243.84,space
1107777,10.324971109933307,מ' 26 בניין 3- קומה 11,ח.שינה 3,1289.9980413514106,243.84,space
1107779,13.895976678795105,מ' 26 בניין 3- קומה 11,ח.שינה 1,1680.6928758786444,243.84,space
1107783,15.755716712223778,מ' 26 בניין 3- קומה 11,ח.דיור,1596.406594680719,243.84,space
